base_ns,candidate_ns
3477982445,1201855981
3368893260,1159367143
3371121684,1162578131
3326967442,1173939475
3381937066,1162339777
3418857725,1156118727
3397587151,1186345457
3299226880,1162517111
3402288210,1160812646
3438095165,1152500977
3361800305,1164069446
3384508288,1166426721
3314045330,1154142934
3303488317,1184465231
3382788922,1151061817
3354658848,1134207249
3326250263,1198936041
3377369609,1157308991
3398749687,1167650052
3377799302,1172900280
3372049902,1209913230
3425930918,1155021192
3319314637,1168226103
3396382228,1192463149
3399128678,1177968996
3434873973,1173407569
3344579118,1152122190
3337876590,1165192566
3366619630,1163883750
3374755747,1176590856
