base_ns,candidate_ns
540174364,560576309
535274626,560461763
537412942,559929310
537858769,560239871
537746566,561881991
655831655,563529628
537314438,560189063
537737869,564017098
538447189,560459347
538270247,563643620
537256094,564309765
537522650,560510819
538034380,560269052
537348390,561498128
537629629,560860331
537972508,563357134
537675121,560933001
537664629,561220997
537830319,560664778
538181545,561871398
536867286,560644957
536902670,560422541
538167917,561314982
537212183,563651015
538221109,561465166
537276771,561106255
541380520,563658263
537744431,560421341
548846230,563393411
537683907,561399796
