base_ns,candidate_ns
534753086,533031673
535041468,534667556
535321807,535462586
535179195,534051192
534529773,535742971
534932352,534163547
535129354,535277776
533621371,534306874
652223159,534388328
535309313,536065331
534843639,534515033
535169283,534514416
534827878,534240637
535786397,534800052
534945504,533710408
535161192,534215659
534956114,533902358
534738449,534537525
534744431,533498876
535026914,533830575
535119901,535226370
535300078,533655355
535173353,536102957
534723605,533409431
534858915,533627959
534953616,533200198
536326295,533438887
534500910,533903017
534902495,532790921
534780335,533685013
