base_ns,candidate_ns
535993769,539351589
534481931,538880064
534943656,539457043
534491342,539805145
534287276,539259979
534341969,539286110
534945589,539065094
534459124,538444154
534464624,539324543
535029645,539146278
534734635,539055916
533845437,539826202
534907322,538384536
535485702,540266678
534570643,539796893
533852750,545841181
534402319,657132380
534402450,539547367
534704990,539261359
535104444,538612188
535183917,539239730
534504016,539968244
534726924,540225853
534910411,539132398
535308984,539261863
534538089,539481761
534653754,541008851
533117895,539360728
534831792,538944046
534597175,539247936
