base_ns,candidate_ns
78954700,78001861
77339297,77752749
78214192,77894436
78366732,77693707
77997913,77925799
78272817,77948881
78191443,77728278
78413014,77628964
77656595,81579846
78053128,77827755
77803775,77857587
78193895,77487008
78105940,77941501
77910930,78171404
78238577,77774954
77531792,78284420
77977046,77762094
77957454,77615156
77683181,77750033
78235378,78061770
78361375,78755885
77975857,77886500
77723244,77607118
78160327,78081223
77725664,78070231
78202809,77817549
78104623,77791378
77686963,77655440
78079874,77999710
77708185,77655172
