base_ns,candidate_ns
79930161,78832051
77836417,78478511
78085810,79146188
78786849,79113726
77664028,78923507
77917711,79615835
78271761,78372366
78118872,78314193
78060899,78555697
78161535,78495523
82358776,78583789
77561052,78671023
77625696,78497604
78029298,78437430
78619810,78626271
77533781,79124638
78057830,78651232
78133904,78932588
78270792,78452762
78333094,78904837
78471262,78718796
78470863,78718367
78339126,79175533
77981126,78624021
78506835,78840623
78261732,78580509
77855599,78576609
78292094,78648033
77910453,78425301
78091983,78468744
