base_ns,candidate_ns
159301506,156905827
157638051,156545676
157745475,157026751
158402886,156907907
157359583,158351245
156677340,155658277
157022282,155977667
157325261,155185262
157035972,155564704
160006169,155726450
156815794,155430170
156916068,156117612
160313749,155835723
156236636,155413059
156669770,155700709
157369703,155587796
156822226,155729710
156725933,155782251
156993921,155921236
156546817,155791552
156779944,155311397
157333272,155397760
156666521,155415790
156910159,155521374
157272601,155472672
157392314,155161541
156916429,155549934
156652310,155420121
158384557,157865380
156659751,155831624
