phase,driver,slots,files,pattern,seed,current_mean,current_p99,current_max,candidate_mean,candidate_p99,candidate_max,generator_sha256
calibration,00d105eed0000001,1024,1,sequential,0000000000000000,1.490234375,7,11,1.556640625,8,14,4f2f0dcc1cef2845142c8c4df8c7a115f478d64a3b3abed8167762cad0ba514d
calibration,00d105eed0000001,1024,1,interleaved,0000000000000000,1.490234375,7,11,1.556640625,8,14,4f2f0dcc1cef2845142c8c4df8c7a115f478d64a3b3abed8167762cad0ba514d
calibration,00d105eed0000001,1024,16,sequential,0000000000000000,1.552734375,6,13,1.445312500,6,15,4f2f0dcc1cef2845142c8c4df8c7a115f478d64a3b3abed8167762cad0ba514d
calibration,00d105eed0000001,1024,16,interleaved,0000000000000000,1.441406250,5,8,1.466796875,6,14,4f2f0dcc1cef2845142c8c4df8c7a115f478d64a3b3abed8167762cad0ba514d
calibration,00d105eed0000001,1024,256,sequential,0000000000000000,1.509765625,7,12,1.542968750,7,17,4f2f0dcc1cef2845142c8c4df8c7a115f478d64a3b3abed8167762cad0ba514d
calibration,00d105eed0000001,1024,256,interleaved,0000000000000000,1.503906250,6,12,1.496093750,7,10,4f2f0dcc1cef2845142c8c4df8c7a115f478d64a3b3abed8167762cad0ba514d
calibration,00d105eed0000001,131072,1,sequential,0000000000000000,1.495071411,7,26,1.497299194,7,25,4f2f0dcc1cef2845142c8c4df8c7a115f478d64a3b3abed8167762cad0ba514d
calibration,00d105eed0000001,131072,1,interleaved,0000000000000000,1.495071411,7,26,1.497299194,7,25,4f2f0dcc1cef2845142c8c4df8c7a115f478d64a3b3abed8167762cad0ba514d
calibration,00d105eed0000001,131072,16,sequential,0000000000000000,1.504608154,7,33,1.489288330,7,21,4f2f0dcc1cef2845142c8c4df8c7a115f478d64a3b3abed8167762cad0ba514d
calibration,00d105eed0000001,131072,16,interleaved,0000000000000000,1.496932983,7,28,1.494644165,7,27,4f2f0dcc1cef2845142c8c4df8c7a115f478d64a3b3abed8167762cad0ba514d
calibration,00d105eed0000001,131072,256,sequential,0000000000000000,1.487930298,7,25,1.504241943,7,28,4f2f0dcc1cef2845142c8c4df8c7a115f478d64a3b3abed8167762cad0ba514d
calibration,00d105eed0000001,131072,256,interleaved,0000000000000000,1.498229980,7,26,1.488861084,7,24,4f2f0dcc1cef2845142c8c4df8c7a115f478d64a3b3abed8167762cad0ba514d
calibration,00d105eed0000001,524288,1,sequential,0000000000000000,1.499145508,7,31,1.497753143,7,38,4f2f0dcc1cef2845142c8c4df8c7a115f478d64a3b3abed8167762cad0ba514d
calibration,00d105eed0000001,524288,1,interleaved,0000000000000000,1.499145508,7,31,1.497753143,7,38,4f2f0dcc1cef2845142c8c4df8c7a115f478d64a3b3abed8167762cad0ba514d
